market_type,asset_symbol,ref_date,close_price,daily_return_pct,sma_7d,sma_21d,volatility_7d,drawdown_pct,trend_signal
CRYPTO,USDC,"2025-11-24 22:53:00",0.99956963,NULL,1.00,1.00,0,0.00,NEUTRAL
CRYPTO,USDC,"2025-11-24 22:54:00",0.99977658,0.02,1.00,1.00,0.0001,0.00,NEUTRAL
CRYPTO,USDC,"2025-11-24 22:56:00",0.99968521,-0.01,1.00,1.00,0.0001,-0.01,NEUTRAL
CRYPTO,USDe,"2025-11-24 22:53:00",0.99902454,NULL,1.00,1.00,0,0.00,NEUTRAL
CRYPTO,USDe,"2025-11-24 22:54:00",0.99901361,0.00,1.00,1.00,0,0.00,NEUTRAL
CRYPTO,USDe,"2025-11-24 22:56:00",0.99896761,0.00,1.00,1.00,0,-0.01,NEUTRAL
CRYPTO,USDT,"2025-11-24 22:53:00",0.99950149,NULL,1.00,1.00,0,0.00,NEUTRAL
CRYPTO,USDT,"2025-11-24 22:54:00",0.99966195,0.02,1.00,1.00,0.0001,0.00,NEUTRAL
CRYPTO,USDT,"2025-11-24 22:56:00",0.99961952,0.00,1.00,1.00,0.0001,0.00,NEUTRAL
STOCK,VALE3.SA,"2025-11-24 00:00:00",65.09000000,NULL,65.09,65.09,0,0.00,NEUTRAL
STOCK,WEGE3.SA,"2025-11-24 00:00:00",43.19000000,NULL,43.19,43.19,0,0.00,NEUTRAL
CRYPTO,XLM,"2025-11-24 22:53:00",0.25610053,NULL,0.26,0.26,0,0.00,NEUTRAL
CRYPTO,XLM,"2025-11-24 22:54:00",0.25611398,0.01,0.26,0.26,0,0.00,NEUTRAL
CRYPTO,XLM,"2025-11-24 22:56:00",0.25618034,0.03,0.26,0.26,0,0.00,NEUTRAL
CRYPTO,XMR,"2025-11-24 22:53:00",386.22522639,NULL,386.23,386.23,0,0.00,NEUTRAL
CRYPTO,XMR,"2025-11-24 22:54:00",386.31738454,0.02,386.27,386.27,0.0461,0.00,NEUTRAL
CRYPTO,XMR,"2025-11-24 22:56:00",385.74075758,-0.15,386.09,386.09,0.2529,-0.15,NEUTRAL
CRYPTO,XRP,"2025-11-24 22:53:00",2.23769211,NULL,2.24,2.24,0,0.00,NEUTRAL
CRYPTO,XRP,"2025-11-24 22:55:00",2.23863495,0.04,2.24,2.24,0.0005,0.00,NEUTRAL
CRYPTO,XRP,"2025-11-24 22:56:00",2.23899815,0.02,2.24,2.24,0.0006,0.00,NEUTRAL
CRYPTO,ZEC,"2025-11-24 22:53:00",531.11278680,NULL,531.11,531.11,0,0.00,NEUTRAL
CRYPTO,ZEC,"2025-11-24 22:54:00",530.51572082,-0.11,530.81,530.81,0.2985,-0.11,NEUTRAL
CRYPTO,ZEC,"2025-11-24 22:56:00",530.18070309,-0.06,530.60,530.60,0.3855,-0.18,NEUTRAL
